transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,unit_cost,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,stockout_indicator,forecasted_demand,actual_demand
TX-1011,C-78573,P-LIM-946,Cloro 1L,Limpieza,10,3.12,1.44,06/12/2024,CHI-02,Chicago,69,15,69,SUP-008,16,18,M,61220,No Registrado,Tarjeta Crédito,No,Sin Promoción,Tormenta,Sí,No,204.4,207.1
TX-1012,C-82779,P-ALI-426,Cereales Kellogg's,Alimentos,10,4.8,2.65,22/07/2024,NY-01,Nueva York,44,11,62,SUP-017,9,66,F,38777,No Registrado,Tarjeta Crédito,No,Sin Promoción,Nublado,Sí,No,99.1,86.1
TX-1013,C-27950,P-ELE-172,Teclado USB,Electrónica,9,23.33,11.29,25/12/2024,LA-01,Los Ángeles,11,21,186,SUP-004,6,27,Otro,29338,Bronce,Billetera Digital,No,Sin Promoción,Nublado,No,No,267.7,290.9
TX-1014,C-29210,P-CUI-878,Hilo Dental 50m,Cuidado Personal,1,2.61,1.08,16/11/2024,MIA-02,Miami,40,23,98,SUP-006,5,49,Otro,86320,Bronce,Tarjeta Débito,No,Sin Promoción,Tormenta,Sí,No,261.1,312.3
TX-1015,C-87240,P-CUI-850,Jabón Líquido 250ml,Cuidado Personal,2,3.61,1.74,26/03/2024,LA-01,Los Ángeles,48,34,163,SUP-009,12,20,Otro,69973,Bronce,Efectivo,Sí,2x1,Soleado,No,No,252.4,231.8
TX-1016,C-59368,P-ALI-537,Salsa de Tomate,Alimentos,3,2.68,1.26,15/12/2024,HOU-02,Houston,85,20,135,SUP-011,3,70,F,97989,Plata,Billetera Digital,Sí,Bundle,Tormenta,Sí,No,256.0,300.9
TX-1017,C-84341,P-LIM-624,Jabón en Barra x3,Limpieza,3,2.87,1.32,27/07/2024,HOU-01,Houston,31,11,104,SUP-009,7,24,F,18566,Bronce,Tarjeta Débito,Sí,2x1,Tormenta,No,No,55.5,63.9
TX-1018,C-66972,P-LÁC-882,Queso Parmesano,Lácteos,11,6.02,3.3,14/09/2024,NY-01,Nueva York,10,22,164,SUP-008,12,26,F,98245,Bronce,Efectivo,Sí,2x1,Tormenta,No,Sí,86.8,99.1
TX-1019,C-20125,P-LIM-306,Limpiapisos 1L,Limpieza,8,4.99,2.35,29/03/2024,LA-02,Los Ángeles,22,36,115,SUP-017,19,33,M,86745,Plata,Transferencia,No,Sin Promoción,Niebla,Sí,No,138.0,128.3
TX-1020,C-34263,P-CUI-607,Cepillo Dental,Cuidado Personal,1,1.96,0.92,11/08/2024,NY-01,Nueva York,25,11,130,SUP-002,11,35,Otro,51412,Bronce,Billetera Digital,No,Sin Promoción,Nublado,No,No,78.5,73.6
TX-1021,C-57033,P-LÁC-643,Crema de Leche,Lácteos,1,2.27,1.2,28/04/2024,MIA-02,Miami,107,14,70,SUP-013,2,38,F,50107,Plata,Tarjeta Crédito,Sí,Descuento %,Nublado,Sí,No,131.9,138.3
TX-1022,C-94491,P-ALI-544,Pan Integral,Alimentos,12,3.91,2.09,11/09/2024,MIA-02,Miami,113,23,192,SUP-013,19,34,F,111333,Oro,Tarjeta Crédito,No,Sin Promoción,Niebla,Sí,No,82.6,67.2
TX-1023,C-12209,P-ELE-735,Teclado USB,Electrónica,10,22.49,11.76,04/05/2024,HOU-02,Houston,86,16,163,SUP-015,18,56,Otro,52330,Bronce,Transferencia,Sí,Bundle,Soleado,No,No,173.5,204.2
TX-1024,C-37317,P-LIM-913,Jabón en Barra x3,Limpieza,4,2.91,1.29,21/12/2024,HOU-02,Houston,118,27,77,SUP-010,14,22,Otro,54671,No Registrado,Transferencia,No,Sin Promoción,Niebla,Sí,No,280.1,229.4
TX-1025,C-36696,P-ALI-983,Pasta Fettuccine,Alimentos,11,3.0,1.49,23/10/2024,HOU-02,Houston,16,10,55,SUP-011,8,60,Otro,32014,Bronce,Transferencia,No,Sin Promoción,Nublado,Sí,No,318.4,342.7
TX-1026,C-42793,P-LÁC-207,Leche Descremada,Lácteos,7,1.88,1.03,19/11/2024,CHI-01,Chicago,35,13,69,SUP-017,11,72,Otro,38749,Oro,Tarjeta Crédito,Sí,Bundle,Niebla,Sí,No,140.9,134.8
TX-1027,C-47123,P-ELE-595,Soporte para Celular,Electrónica,9,9.86,4.94,17/08/2024,MIA-01,Miami,33,18,178,SUP-006,16,27,M,61138,Plata,Billetera Digital,Sí,Precio Especial,Lluvia,Sí,No,113.4,110.5
TX-1028,C-23979,P-LÁC-100,Queso Parmesano,Lácteos,7,5.97,3.46,12/02/2024,HOU-02,Houston,12,10,158,SUP-014,16,23,M,43572,Bronce,Tarjeta Débito,No,Sin Promoción,Nublado,Sí,No,108.2,97.7
TX-1029,C-63020,P-ELE-946,Funda Celular,Electrónica,2,7.6,3.23,27/02/2024,HOU-02,Houston,108,20,56,SUP-007,11,39,Otro,23612,No Registrado,Efectivo,No,Sin Promoción,Niebla,No,No,104.6,89.1
TX-1030,C-77881,P-ELE-789,Lámpara LED USB,Electrónica,11,11.99,5.72,05/11/2024,HOU-01,Houston,21,23,171,SUP-018,7,72,Otro,58207,Bronce,Tarjeta Crédito,No,Sin Promoción,Nublado,Sí,No,198.8,164.5
TX-1031,C-36039,P-ELE-399,Lámpara LED USB,Electrónica,6,11.91,5.49,08/10/2024,NY-02,Nueva York,86,19,58,SUP-011,15,58,M,23276,Plata,Tarjeta Crédito,No,Sin Promoción,Nieve,No,No,226.9,231.0
TX-1032,C-58198,P-ELE-756,Soporte para Celular,Electrónica,2,10.36,4.76,29/06/2024,LA-02,Los Ángeles,34,14,66,SUP-004,2,42,F,95781,Plata,Billetera Digital,Sí,Precio Especial,Tormenta,No,No,253.7,231.0
TX-1033,C-63910,P-LÁC-782,Queso Cheddar 200g,Lácteos,5,4.15,2.25,07/10/2024,NY-01,Nueva York,34,26,186,SUP-005,9,51,Otro,34821,Oro,Efectivo,No,Sin Promoción,Tormenta,No,No,62.1,73.6
TX-1034,C-83599,P-ALI-333,Salsa de Tomate,Alimentos,5,2.61,1.27,16/09/2024,LA-02,Los Ángeles,59,11,82,SUP-003,13,26,Otro,64567,Bronce,Tarjeta Crédito,Sí,2x1,Tormenta,Sí,No,173.0,182.9
TX-1035,C-69984,P-LIM-750,Aromatizante Hogar,Limpieza,1,6.15,3.05,22/04/2024,HOU-02,Houston,24,14,160,SUP-005,19,36,Otro,20731,Bronce,Efectivo,Sí,Bundle,Soleado,Sí,No,240.5,274.0
TX-1036,C-98690,P-LIM-391,Cloro 1L,Limpieza,3,3.04,1.42,17/06/2024,NY-01,Nueva York,69,28,145,SUP-007,15,34,M,85166,Oro,Transferencia,Sí,Sin Promoción,Tormenta,No,No,195.6,176.8
TX-1037,C-49289,P-CUI-590,Pasta Dental 150ml,Cuidado Personal,1,2.9,1.37,28/04/2024,MIA-01,Miami,21,15,54,SUP-017,9,34,F,69566,Oro,Transferencia,Sí,Cupón Digital,Lluvia,Sí,No,54.7,55.7
TX-1038,C-75978,P-LIM-853,Esponjas x3,Limpieza,12,2.06,0.91,16/06/2024,LA-01,Los Ángeles,89,28,86,SUP-020,3,43,Otro,105569,Plata,Transferencia,Sí,Precio Especial,Soleado,No,No,296.3,328.7
TX-1039,C-42043,P-CUI-436,Cepillo Dental,Cuidado Personal,2,2.09,0.91,17/11/2024,LA-02,Los Ángeles,102,34,113,SUP-013,7,63,F,48156,Oro,Tarjeta Crédito,Sí,Descuento %,Tormenta,Sí,No,76.0,75.1
TX-1040,C-91654,P-LÁC-548,Crema de Leche,Lácteos,3,2.28,1.16,22/11/2024,HOU-01,Houston,41,23,161,SUP-009,7,27,F,92541,Oro,Tarjeta Débito,No,Sin Promoción,Nieve,No,No,81.4,87.5
TX-1041,C-74202,P-LIM-710,Limpiapisos 1L,Limpieza,8,4.76,2.39,04/09/2024,NY-02,Nueva York,25,11,166,SUP-004,13,18,F,75143,Oro,Tarjeta Crédito,Sí,2x1,Soleado,No,No,287.9,337.5
TX-1042,C-38798,P-ALI-229,Arroz 5kg,Alimentos,4,7.62,4.12,11/01/2024,MIA-01,Miami,6,21,65,SUP-002,8,56,M,45965,Bronce,Tarjeta Débito,No,Sin Promoción,Lluvia,No,No,117.4,111.1
TX-1043,C-58338,P-ELE-399,Cargador Rápido 65W,Electrónica,3,19.42,9.77,22/01/2024,HOU-02,Houston,103,36,104,SUP-013,11,39,M,110742,No Registrado,Efectivo,No,Sin Promoción,Tormenta,No,No,180.3,145.3
TX-1044,C-58846,P-ALI-648,Aceite Oliva 1L,Alimentos,1,10.17,5.74,30/12/2024,CHI-01,Chicago,89,39,145,SUP-001,7,40,F,95277,Oro,Efectivo,No,Sin Promoción,Tormenta,No,No,125.4,130.6
TX-1045,C-55097,P-LÁC-955,Crema de Leche,Lácteos,2,2.39,1.2,06/02/2024,CHI-02,Chicago,88,35,70,SUP-007,5,42,F,46949,Plata,Tarjeta Crédito,Sí,Precio Especial,Lluvia,No,No,78.2,82.9
TX-1046,C-14317,P-ELE-295,Teclado USB,Electrónica,3,22.99,11.5,29/12/2024,LA-01,Los Ángeles,85,28,55,SUP-002,6,37,F,79513,Plata,Tarjeta Crédito,Sí,Cupón Digital,Tormenta,No,No,165.4,148.7
TX-1047,C-51513,P-LÁC-354,Leche Entera 1L,Lácteos,10,1.97,1.13,13/10/2024,NY-02,Nueva York,82,15,50,SUP-019,8,49,F,65164,Plata,Billetera Digital,Sí,2x1,Nieve,No,No,102.2,121.1
TX-1048,C-14103,P-LÁC-332,Yogur de Fresa,Lácteos,1,2.9,1.48,23/06/2024,LA-02,Los Ángeles,13,24,102,SUP-002,7,30,F,75326,Bronce,Tarjeta Crédito,Sí,2x1,Soleado,Sí,No,89.9,74.6
TX-1049,C-33553,P-ALI-840,Pan Integral,Alimentos,6,4.14,2.07,30/03/2024,MIA-02,Miami,77,24,148,SUP-002,15,48,M,85184,No Registrado,Efectivo,Sí,Cupón Digital,Nublado,No,No,214.8,198.2
TX-1050,C-37704,P-ALI-787,Atún en Lata,Alimentos,6,1.86,0.95,09/11/2024,LA-02,Los Ángeles,35,24,78,SUP-018,15,25,M,39422,No Registrado,Tarjeta Crédito,Sí,2x1,Nublado,Sí,No,258.2,293.6
TX-1051,C-91190,P-CUI-182,Pasta Dental 150ml,Cuidado Personal,9,3.09,1.38,10/01/2024,HOU-01,Houston,87,31,162,SUP-020,16,35,Otro,93675,Oro,Billetera Digital,No,Sin Promoción,Nublado,No,No,184.3,216.3
TX-1052,C-26430,P-LIM-911,Suavizante Ropa,Limpieza,3,5.04,2.66,24/11/2024,NY-02,Nueva York,78,12,93,SUP-008,18,51,Otro,72944,Oro,Tarjeta Crédito,No,Sin Promoción,Nieve,Sí,No,231.4,266.4
TX-1053,C-84550,P-CUI-173,Shampoo 400ml,Cuidado Personal,12,6.1,3.05,03/07/2024,MIA-01,Miami,81,14,89,SUP-016,13,72,F,40065,Oro,Efectivo,Sí,2x1,Tormenta,No,No,101.6,106.1
TX-1054,C-91584,P-CUI-849,Acondicionador 400ml,Cuidado Personal,3,6.2,3.14,22/05/2024,CHI-02,Chicago,59,30,115,SUP-006,8,37,M,86389,No Registrado,Efectivo,Sí,Cupón Digital,Soleado,No,No,238.3,249.9
TX-1055,C-23494,P-ELE-192,Lámpara LED USB,Electrónica,10,11.27,5.69,03/04/2024,HOU-02,Houston,25,27,145,SUP-001,18,48,M,97435,No Registrado,Efectivo,No,Sin Promoción,Niebla,No,Sí,298.6,312.0
TX-1056,C-41985,P-LIM-981,Limpiapisos 1L,Limpieza,6,4.87,2.38,22/02/2024,MIA-02,Miami,83,32,56,SUP-004,7,63,F,91762,Plata,Tarjeta Débito,No,Sin Promoción,Soleado,No,No,104.6,117.9
TX-1057,C-29209,P-LIM-972,Esponjas x3,Limpieza,10,2.04,0.88,12/02/2024,NY-02,Nueva York,69,22,97,SUP-014,21,31,Otro,74027,Oro,Tarjeta Crédito,Sí,Descuento %,Lluvia,No,No,73.2,82.8
TX-1058,C-52750,P-ALI-508,Arroz 5kg,Alimentos,4,7.41,4.15,18/06/2024,HOU-01,Houston,115,28,160,SUP-019,21,64,M,76798,Plata,Tarjeta Débito,Sí,Sin Promoción,Nieve,No,No,96.2,91.3
TX-1059,C-17486,P-LIM-177,Limpia Vidrios,Limpieza,8,3.56,1.65,13/12/2024,HOU-01,Houston,57,27,55,SUP-014,19,61,M,30235,No Registrado,Billetera Digital,No,Sin Promoción,Nieve,Sí,No,103.0,85.5
TX-1060,C-14183,P-CUI-275,Protector Solar SPF50,Cuidado Personal,7,9.8,5.02,22/12/2024,MIA-02,Miami,99,12,199,SUP-019,17,66,M,72108,No Registrado,Tarjeta Débito,Sí,Cupón Digital,Niebla,No,No,98.7,93.3
TX-1061,C-51610,P-LÁC-402,Yogur de Fresa,Lácteos,7,2.81,1.51,15/01/2024,LA-01,Los Ángeles,66,12,199,SUP-002,18,50,F,78709,Bronce,Tarjeta Crédito,No,Sin Promoción,Nublado,Sí,No,331.5,387.3
TX-1062,C-79478,P-LIM-137,Limpia Vidrios,Limpieza,8,3.44,1.68,23/10/2024,HOU-02,Houston,5,28,151,SUP-003,17,27,M,39442,No Registrado,Efectivo,Sí,Sin Promoción,Niebla,Sí,Sí,203.8,221.1
TX-1063,C-43740,P-CUI-159,Crema Corporal,Cuidado Personal,4,7.72,3.72,10/05/2024,LA-02,Los Ángeles,82,38,84,SUP-005,2,35,F,79497,Plata,Transferencia,No,Sin Promoción,Niebla,No,No,74.1,74.1
TX-1064,C-78341,P-ALI-332,Avena Quaker,Alimentos,1,4.38,2.35,18/12/2024,NY-01,Nueva York,66,14,160,SUP-001,12,45,F,112244,Oro,Tarjeta Débito,Sí,Cupón Digital,Niebla,Sí,No,255.2,218.6
TX-1065,C-22730,P-ALI-658,Pan Integral,Alimentos,12,3.98,2.04,11/05/2024,MIA-01,Miami,32,14,69,SUP-002,11,52,M,98552,No Registrado,Billetera Digital,Sí,Cupón Digital,Niebla,Sí,No,344.9,339.7
TX-1066,C-34506,P-LÁC-937,Queso Cheddar 200g,Lácteos,6,4.18,2.22,12/05/2024,HOU-01,Houston,10,38,160,SUP-019,17,40,Otro,111180,Oro,Transferencia,Sí,Precio Especial,Soleado,Sí,Sí,251.9,208.3
TX-1067,C-54144,P-LÁC-623,Queso Mozzarella,Lácteos,10,4.52,2.46,26/12/2024,CHI-01,Chicago,26,24,95,SUP-016,21,37,F,34080,Bronce,Billetera Digital,Sí,Cupón Digital,Nieve,No,No,230.4,212.0
TX-1068,C-37487,P-ALI-695,Pasta Fettuccine,Alimentos,10,2.91,1.48,22/10/2024,MIA-02,Miami,24,37,99,SUP-014,7,21,Otro,24055,Bronce,Efectivo,Sí,Sin Promoción,Nieve,No,Sí,193.4,169.6
TX-1069,C-98922,P-LÁC-353,Leche Descremada,Lácteos,11,1.95,1.06,24/02/2024,LA-02,Los Ángeles,1,20,63,SUP-003,21,56,M,104872,No Registrado,Tarjeta Débito,Sí,Precio Especial,Niebla,Sí,No,319.2,346.6
TX-1070,C-55696,P-LÁC-552,Queso Mozzarella,Lácteos,5,4.67,2.49,13/04/2024,CHI-01,Chicago,50,24,128,SUP-015,10,49,Otro,97799,Plata,Transferencia,Sí,Cupón Digital,Nublado,No,No,266.9,315.5
TX-1071,C-66118,P-LIM-401,Bolsas Basura x20,Limpieza,4,3.27,1.58,30/03/2024,MIA-01,Miami,39,19,74,SUP-002,11,61,Otro,43369,No Registrado,Tarjeta Crédito,No,Sin Promoción,Nublado,No,No,74.1,73.0
TX-1072,C-87741,P-LIM-154,Suavizante Ropa,Limpieza,9,4.85,2.6,21/04/2024,HOU-02,Houston,8,11,77,SUP-017,9,37,M,107885,Oro,Efectivo,No,Sin Promoción,Soleado,Sí,Sí,100.2,87.1
TX-1073,C-13379,P-LÁC-296,Leche Evaporada,Lácteos,9,1.63,0.82,16/09/2024,HOU-01,Houston,20,16,138,SUP-010,7,41,F,52781,Bronce,Tarjeta Crédito,Sí,Precio Especial,Lluvia,No,No,128.7,148.2
TX-1074,C-75421,P-LÁC-395,Queso Mozzarella,Lácteos,2,4.49,2.56,25/07/2024,HOU-02,Houston,43,30,74,SUP-020,2,72,Otro,31729,Oro,Tarjeta Débito,Sí,Sin Promoción,Nieve,No,No,56.4,49.3
TX-1075,C-74631,P-LIM-428,Jabón en Barra x3,Limpieza,7,2.81,1.32,27/10/2024,LA-02,Los Ángeles,16,25,116,SUP-019,6,72,F,40189,No Registrado,Billetera Digital,No,Sin Promoción,Soleado,Sí,No,249.0,230.0
TX-1076,C-26354,P-ALI-693,Arroz 5kg,Alimentos,5,7.27,4.18,16/06/2024,HOU-02,Houston,16,31,148,SUP-005,16,45,F,45909,Plata,Tarjeta Crédito,No,Sin Promoción,Soleado,No,Sí,59.5,49.4
TX-1077,C-25833,P-LIM-132,Cloro 1L,Limpieza,4,3.0,1.36,24/11/2024,LA-02,Los Ángeles,96,21,180,SUP-009,20,51,F,111117,Bronce,Tarjeta Crédito,No,Sin Promoción,Tormenta,Sí,No,148.3,154.5
TX-1078,C-70247,P-ALI-586,Salsa de Tomate,Alimentos,8,2.63,1.3,27/02/2024,NY-02,Nueva York,35,11,150,SUP-006,4,43,M,116099,Oro,Efectivo,Sí,2x1,Lluvia,Sí,No,204.6,195.5
TX-1079,C-11315,P-ALI-911,Pan Integral,Alimentos,12,4.06,2.14,28/09/2024,NY-02,Nueva York,82,29,130,SUP-020,20,20,M,67117,Oro,Efectivo,Sí,Cupón Digital,Soleado,Sí,No,104.9,111.5
TX-1080,C-52523,P-ELE-799,Cargador Rápido 65W,Electrónica,8,20.27,10.05,08/01/2024,HOU-01,Houston,20,14,193,SUP-014,11,19,F,91211,Plata,Billetera Digital,No,Sin Promoción,Nieve,No,No,82.6,70.5
TX-1081,C-61585,P-LIM-522,Bolsas Basura x20,Limpieza,4,3.33,1.62,24/07/2024,MIA-02,Miami,14,36,51,SUP-008,21,56,Otro,80811,No Registrado,Tarjeta Crédito,No,Sin Promoción,Nublado,Sí,Sí,98.1,85.6
TX-1082,C-66235,P-CUI-108,Cepillo Dental,Cuidado Personal,4,1.98,0.91,27/07/2024,MIA-01,Miami,28,16,166,SUP-002,7,24,Otro,42604,No Registrado,Efectivo,Sí,Bundle,Nieve,No,No,149.1,166.5
TX-1083,C-82109,P-LÁC-957,Queso Cheddar 200g,Lácteos,12,4.15,2.24,07/09/2024,MIA-01,Miami,13,31,115,SUP-009,2,70,Otro,49305,No Registrado,Tarjeta Débito,Sí,Sin Promoción,Nublado,No,No,86.1,76.8
TX-1084,C-52407,P-CUI-171,Jabón Líquido 250ml,Cuidado Personal,6,3.62,1.67,20/08/2024,MIA-02,Miami,110,13,72,SUP-006,12,19,Otro,76590,No Registrado,Efectivo,Sí,Bundle,Tormenta,No,No,224.7,219.3
TX-1085,C-94424,P-LIM-381,Desinfectante 750ml,Limpieza,2,4.45,2.05,08/12/2024,NY-02,Nueva York,42,29,86,SUP-011,21,40,M,63044,Bronce,Tarjeta Débito,Sí,2x1,Soleado,Sí,No,146.4,152.2
TX-1086,C-23007,P-LIM-533,Cloro 1L,Limpieza,10,3.06,1.4,03/06/2024,LA-02,Los Ángeles,98,32,123,SUP-003,3,31,F,76500,Oro,Tarjeta Crédito,No,Sin Promoción,Nieve,Sí,No,133.4,152.2
TX-1087,C-62430,P-ELE-879,Cable USB-C 2m,Electrónica,7,9.03,4.42,08/01/2024,MIA-02,Miami,116,15,129,SUP-012,21,43,M,44030,No Registrado,Transferencia,Sí,Cupón Digital,Nieve,No,No,219.4,222.8
TX-1088,C-19523,P-ELE-580,Teclado USB,Electrónica,1,22.64,11.18,14/06/2024,HOU-02,Houston,52,36,111,SUP-004,11,40,F,26732,Bronce,Efectivo,Sí,Cupón Digital,Niebla,No,No,163.6,160.2
TX-1089,C-77746,P-CUI-317,Pasta Dental 150ml,Cuidado Personal,3,2.99,1.36,26/06/2024,NY-01,Nueva York,15,25,91,SUP-016,2,29,Otro,108048,Oro,Billetera Digital,Sí,Descuento %,Soleado,No,Sí,128.8,131.7
TX-1090,C-75786,P-LÁC-402,Mantequilla 250g,Lácteos,10,3.58,1.93,14/05/2024,NY-02,Nueva York,94,24,197,SUP-001,8,68,M,86995,Plata,Tarjeta Crédito,No,Sin Promoción,Tormenta,Sí,No,231.0,193.4
TX-1091,C-41084,P-ALI-218,Granola Premium,Alimentos,8,6.97,3.87,02/06/2024,NY-02,Nueva York,60,13,62,SUP-004,17,70,Otro,46948,Oro,Tarjeta Débito,Sí,Precio Especial,Soleado,No,No,180.1,215.4
TX-1092,C-55258,P-LIM-582,Limpiapisos 1L,Limpieza,11,4.84,2.46,17/10/2024,NY-02,Nueva York,72,36,139,SUP-007,8,44,F,111517,Plata,Tarjeta Crédito,Sí,Precio Especial,Lluvia,Sí,No,141.9,162.5
TX-1093,C-98632,P-CUI-776,Cepillo Dental,Cuidado Personal,11,2.02,0.91,31/10/2024,HOU-02,Houston,21,31,51,SUP-007,20,61,F,48783,Bronce,Tarjeta Débito,No,Sin Promoción,Nieve,No,Sí,149.9,139.9
TX-1094,C-16338,P-LIM-526,Esponjas x3,Limpieza,11,2.09,0.9,30/10/2024,MIA-01,Miami,33,16,107,SUP-020,15,49,F,70692,No Registrado,Tarjeta Crédito,Sí,Sin Promoción,Nublado,No,No,188.5,202.2
TX-1095,C-81793,P-CUI-475,Pasta Dental 150ml,Cuidado Personal,5,3.11,1.43,11/03/2024,MIA-02,Miami,106,16,87,SUP-018,14,47,Otro,86359,Plata,Transferencia,Sí,2x1,Niebla,No,No,124.2,129.3
TX-1096,C-19158,P-LIM-515,Limpiapisos 1L,Limpieza,12,4.89,2.44,25/09/2024,CHI-02,Chicago,16,28,174,SUP-006,10,55,Otro,117075,Plata,Efectivo,No,Sin Promoción,Lluvia,Sí,No,59.1,62.7
TX-1097,C-90215,P-LÁC-521,Queso Cheddar 200g,Lácteos,6,3.95,2.21,14/08/2024,MIA-02,Miami,114,40,196,SUP-017,7,25,M,71857,No Registrado,Efectivo,No,Sin Promoción,Nublado,Sí,No,195.4,173.9
TX-1098,C-33853,P-ELE-303,Teclado USB,Electrónica,8,22.33,11.28,08/07/2024,HOU-02,Houston,64,15,80,SUP-006,19,25,F,70768,Bronce,Tarjeta Débito,Sí,Sin Promoción,Soleado,Sí,No,208.4,230.3
TX-1099,C-70451,P-CUI-823,Pasta Dental 150ml,Cuidado Personal,10,3.11,1.4,10/08/2024,CHI-01,Chicago,26,21,158,SUP-004,6,66,Otro,92425,Bronce,Tarjeta Débito,Sí,Cupón Digital,Lluvia,No,No,249.0,270.9
TX-1100,C-23789,P-LÁC-338,Crema de Leche,Lácteos,8,2.38,1.22,12/06/2024,CHI-02,Chicago,32,11,118,SUP-004,14,58,Otro,111789,Plata,Transferencia,Sí,2x1,Nieve,No,No,188.7,192.2
TX-1101,C-52833,P-ELE-673,Cable USB-C 2m,Electrónica,3,8.87,4.39,29/02/2024,LA-01,Los Ángeles,17,26,104,SUP-010,21,21,F,91115,Oro,Efectivo,No,Sin Promoción,Nublado,No,Sí,213.1,183.2
TX-1102,C-74449,P-LÁC-680,Crema de Leche,Lácteos,11,2.3,1.23,18/11/2024,CHI-02,Chicago,88,27,77,SUP-005,9,36,Otro,86674,Oro,Billetera Digital,Sí,Precio Especial,Nieve,Sí,No,184.3,162.0
TX-1103,C-95486,P-ALI-354,Granola Premium,Alimentos,1,6.81,3.78,19/08/2024,NY-02,Nueva York,53,37,101,SUP-020,16,22,M,29476,Bronce,Tarjeta Crédito,No,Sin Promoción,Niebla,No,No,118.3,117.7
TX-1104,C-99899,P-ELE-499,Teclado USB,Electrónica,7,23.31,11.62,08/06/2024,CHI-02,Chicago,8,37,60,SUP-018,11,44,Otro,29741,No Registrado,Billetera Digital,Sí,2x1,Tormenta,Sí,Sí,197.5,212.7
TX-1105,C-29018,P-ALI-813,Atún en Lata,Alimentos,10,1.9,0.93,02/07/2024,MIA-02,Miami,15,21,171,SUP-005,2,70,M,65971,Bronce,Billetera Digital,No,Sin Promoción,Tormenta,No,No,191.6,211.0
TX-1106,C-12647,P-ELE-641,Teclado USB,Electrónica,11,23.53,11.29,23/07/2024,NY-01,Nueva York,10,19,97,SUP-005,7,44,M,100427,Bronce,Efectivo,No,Sin Promoción,Nieve,Sí,No,229.8,243.9
TX-1107,C-48973,P-ALI-817,Arroz 5kg,Alimentos,6,7.58,4.23,30/06/2024,LA-02,Los Ángeles,16,36,101,SUP-012,13,63,M,74330,Plata,Billetera Digital,Sí,Bundle,Nieve,Sí,Sí,246.1,267.6
